nutrition_ID,country_code,age_ID,variable_ID,median,lowerci_95,upperci_95,country_numeric
1,AFG,1,1,10.6997132729078,7.18261386127206,16.2484136964158,004
2,AFG,2,1,21.961312695893,14.8494538942075,33.2498105067085,004
3,AFG,4,1,61.012028564927,42.118277957889,91.4306766148717,004
4,AFG,5,1,77.4461858286657,53.1066566183528,116.412149320191,004
5,AFG,6,1,81.1919005739508,55.9187106577306,123.657772432307,004
6,AFG,7,1,65.697036145116,51.1431781223965,85.8848255564909,004
7,AGO,1,1,14.4128486483332,11.0089746039306,19.0800375127762,024
8,AGO,2,1,32.5265426064596,25.0288781848669,43.1918048127993,024
9,AGO,4,1,106.085429030188,82.3235112379054,140.500147328084,024
10,AGO,5,1,141.134613331711,107.41397303138,186.211123895881,024
11,AGO,6,1,154.256505171452,117.028440505737,200.009675114457,024
12,AGO,7,1,119.746980178364,103.335038230793,137.873253623367,024
13,ALB,1,1,34.4222177880017,28.2165689374924,42.152005687812,008
14,ALB,2,1,52.3494981611083,44.3234951347265,62.2844839441956,008
15,ALB,4,1,96.64956270855052,81.9761673350264,114.353154309247,008
16,ALB,5,1,116.518218105837,98.5208266960143,138.331715276059,008
17,ALB,6,1,131.310277269059,111.151254406489,155.876809806745,008
18,ALB,7,1,138.874360391486,117.845783614973,164.34651918003,008
19,ARE,1,1,11.1250823024491,8.95135795097994,13.8242891694457,784
20,ARE,2,1,24.6741553362571,20.4129683862193,29.6960925455474,784
21,ARE,4,1,78.773298204786,66.3061860441091,93.1057996266905,784
22,ARE,5,1,105.63659161361,88.9565736063055,124.269767028299,784
23,ARE,6,1,116.772554617673,98.7861162724244,136.839981731087,784
24,ARE,7,1,107.577819790244,91.1495602774388,125.948181305625,784
25,ARG,1,1,18.2509044219981,15.6801195958338,21.4694345921068,032
26,ARG,2,1,34.5387715476503,30.1601975022624,39.9081087277953,032
27,ARG,4,1,87.1496672965594,76.5520838935298,99.555615173899,032
28,ARG,5,1,106.871859820011,94.0399770164809,121.914939551855,032
29,ARG,6,1,110.869693285786,97.7004489804992,126.289653224738,032
30,ARG,7,1,93.9957873084252,82.9969735911248,106.872729718193,032
31,ARM,1,1,22.5937819903696,18.1121052830369,28.1498038834926,051
32,ARM,2,1,34.3103997389846,28.3822297495443,41.7852542002081,051
33,ARM,4,1,63.4233261055908,52.3215672094437,77.3525439203779,051
34,ARM,5,1,76.4868218384544,62.9270766936048,93.7167968503896,051
35,ARM,6,1,86.0036029889605,70.693123934495,105.160252118124,051
36,ARM,7,1,91.2343636248976,74.4188833868422,111.774127859746,051
37,ATG,1,1,18.5499751236364,12.6091748074829,27.4129401159923,028
38,ATG,2,1,35.1438239742184,24.0327928420607,51.3654065544247,028
39,ATG,4,1,88.6649940947407,60.9548294383301,128.272175291997,028
